,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
367,NREM,30,03:35:30.000,03:36:00.000,1247,1248
368,NREM,30,03:36:00.000,03:36:30.000,1248,1249
369,NREM,30,03:36:30.000,03:37:00.000,1249,1250
370,NREM,30,03:37:00.000,03:37:30.000,1250,1251
371,NREM,30,03:37:30.000,03:38:00.000,1251,1252
372,NREM,30,03:38:00.000,03:38:30.000,1252,1253
373,NREM,30,03:38:30.000,03:39:00.000,1253,1254
374,NREM,30,03:39:00.000,03:39:30.000,1254,1255
375,NREM,30,03:39:30.000,03:40:00.000,1255,1256
376,NREM,30,03:40:00.000,03:40:30.000,1256,1257
377,NREM,30,03:40:30.000,03:41:00.000,1257,1258
378,NREM,30,03:41:00.000,03:41:30.000,1258,1259
379,NREM,30,03:41:30.000,03:42:00.000,1259,1260
380,NREM,30,03:42:00.000,03:42:30.000,1260,1261
381,NREM,30,03:42:30.000,03:43:00.000,1261,1262
382,NREM,30,03:43:00.000,03:43:30.000,1262,1263
383,NREM,30,03:43:30.000,03:44:00.000,1263,1264
384,NREM,30,03:44:00.000,03:44:30.000,1264,1265
385,NREM,30,03:44:30.000,03:45:00.000,1265,1266
386,NREM,30,03:45:00.000,03:45:30.000,1266,1267
387,NREM,30,03:45:30.000,03:46:00.000,1267,1268
388,NREM,30,03:46:00.000,03:46:30.000,1268,1269
389,NREM,30,03:46:30.000,03:47:00.000,1269,1270
390,NREM,30,03:47:00.000,03:47:30.000,1270,1271
391,NREM,30,03:47:30.000,03:48:00.000,1271,1272
392,NREM,30,03:48:00.000,03:48:30.000,1272,1273
393,NREM,30,03:48:30.000,03:49:00.000,1273,1274
394,NREM,30,03:49:00.000,03:49:30.000,1274,1275
395,NREM,30,03:49:30.000,03:50:00.000,1275,1276
396,NREM,30,03:50:00.000,03:50:30.000,1276,1277
397,NREM,30,03:50:30.000,03:51:00.000,1277,1278
398,NREM,30,03:51:00.000,03:51:30.000,1278,1279
399,NREM,30,03:51:30.000,03:52:00.000,1279,1280
400,NREM,30,03:52:00.000,03:52:30.000,1280,1281
401,NREM,30,03:52:30.000,03:53:00.000,1281,1282
402,NREM,30,03:53:00.000,03:53:30.000,1282,1283
403,NREM,30,03:53:30.000,03:54:00.000,1283,1284
404,NREM,30,03:54:00.000,03:54:30.000,1284,1285
405,NREM,30,03:54:30.000,03:55:00.000,1285,1286
406,NREM,30,03:55:00.000,03:55:30.000,1286,1287
407,NREM,30,03:55:30.000,03:56:00.000,1287,1288
408,NREM,30,03:56:00.000,03:56:30.000,1288,1289
409,NREM,30,03:56:30.000,03:57:00.000,1289,1290
410,NREM,30,03:57:00.000,03:57:30.000,1290,1291
