Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
Movement,29.298,10:06.3,10:35.6,956,957,
LM,1.4,10:07.4,10:08.8,956,956,
N2,30,10:30.0,11:00.0,957,958,
LM,2.169,10:34.1,10:36.3,957,957,
N2,30,11:00.0,11:30.0,958,959,
N2,30,11:30.0,12:00.0,959,960,
LM,3.912,11:56.7,12:00.6,959,960,
Movement,2.049,11:58.8,12:00.8,959,960,
N1,30,12:00.0,12:30.0,960,961,
N2,30,12:30.0,13:00.0,961,962,
Movement,6.449,12:42.9,12:49.4,961,961,
N2,30,13:00.0,13:30.0,962,963,
REM,30,13:30.0,14:00.0,963,964,
REM,30,14:00.0,14:30.0,964,965,
Desat,15.965,14:15.2,14:31.1,964,965,
REM,30,14:30.0,15:00.0,965,966,
LM,1.6,14:47.6,14:49.2,965,965,
LM,1.8,14:48.1,14:49.9,965,965,
Movement,1.4,14:48.8,14:50.2,965,965,
REM,30,15:00.0,15:30.0,966,967,
Movement,6.75,15:23.6,15:30.3,966,967,
REM,30,15:30.0,16:00.0,967,968,
Wake,30,16:00.0,16:30.0,968,969,
Movement,1,16:27.7,16:28.7,968,968,
LM,2.465,16:27.9,16:30.4,968,969,
LM,2.425,16:27.9,16:30.3,968,969,
N1,30,16:30.0,17:00.0,969,970,
N2,30,17:00.0,17:30.0,970,971,
N1,30,17:30.0,18:00.0,971,972,
N1,30,18:00.0,18:30.0,972,973,
LM,2.005,18:00.9,18:02.9,972,972,
PLM,230.926,18:00.9,21:51.8,972,979,
LM,1.185,18:26.3,18:27.5,972,972,
LM,0.745,18:27.6,18:28.3,972,972,
N2,30,18:30.0,19:00.0,973,974,
N2,30,19:00.0,19:30.0,974,975,
N2,30,19:30.0,20:00.0,975,976,
LM,3.83,19:46.4,19:50.2,975,975,
LM,3.62,19:47.0,19:50.7,975,975,
Desat,30.793,19:49.1,20:19.9,975,976,
N2,30,20:00.0,20:30.0,976,977,
Movement,3.699,20:19.0,20:22.7,976,976,
LM,0.893,20:21.1,20:22.0,976,976,
N2,30,20:30.0,21:00.0,977,978,
N2,30,21:00.0,21:30.0,978,979,
LM,1.26,21:01.6,21:02.8,978,978,
N2,30,21:30.0,22:00.0,979,980,
LM,4.66,21:47.1,21:51.8,979,979,
LM,2.285,21:48.2,21:50.5,979,979,
Movement,3.1,21:48.3,21:51.4,979,979,
N2,30,22:00.0,22:30.0,980,981,
N2,30,22:30.0,23:00.0,981,982,
N2,30,23:00.0,23:30.0,982,983,
N2,30,23:30.0,24:00.0,983,984,
N2,30,24:00.0,24:30.0,984,985,
LM,0.98,24:24.5,24:25.5,984,984,
Snore Train,10.52,24:24.6,24:35.1,984,985,
Movement,17.699,24:25.2,24:42.9,984,985,
Wake,30,24:30.0,25:00.0,985,986,
N2,30,25:00.0,25:30.0,986,987,
N2,30,25:30.0,26:00.0,987,988,
N2,30,26:00.0,26:30.0,988,989,
N2,30,26:30.0,27:00.0,989,990,
N2,30,27:00.0,27:30.0,990,991,
N2,30,27:30.0,28:00.0,991,992,
N2,30,28:00.0,28:30.0,992,993,
N3,30,28:30.0,29:00.0,993,994,
N3,30,29:00.0,29:30.0,994,995,
N3,30,29:30.0,30:00.0,995,996,
N3,30,30:00.0,30:30.0,996,997,
N2,30,30:30.0,31:00.0,997,998,
LM,1.945,30:37.2,30:39.1,997,997,
Desat,18,30:48.8,31:06.8,997,998,
N2,30,31:00.0,31:30.0,998,999,
N3,30,31:30.0,32:00.0,999,1000,
N2,30,32:00.0,32:30.0,1000,1001,
N2,30,32:30.0,33:00.0,1001,1002,
N2,30,33:00.0,33:30.0,1002,1003,
N3,30,33:30.0,34:00.0,1003,1004,
Snore Train,14.92,33:43.1,33:58.0,1003,1003,
LM,2.402,33:45.4,33:47.8,1003,1003,
Movement,1.7,33:45.9,33:47.6,1003,1003,
N2,30,34:00.0,34:30.0,1004,1005,
N3,30,34:30.0,35:00.0,1005,1006,
N3,30,35:00.0,35:30.0,1006,1007,
